mean_hastags,unique_hashtags,tweets_with_hashtags,no_hashtags,total_tweets
1.1657142857142857,310,350,2791,3141
1.7857142857142858,963,1176,1510,2686
1.1486486486486487,66,74,2718,2792
1.1574585635359116,314,362,2615,2977
1.5497762863534676,345,1788,767,2555
1.5497762863534676,345,1788,767,2555
1.417462482946794,646,733,2342,3075
1.2849604221635884,267,379,2558,2937
1.2849604221635884,267,379,2558,2937
1.5714285714285714,8,49,22,71
1.5714285714285714,8,49,22,71
1.287215411558669,448,571,1428,1999
1.2945859872611465,319,1256,1893,3149
1.2945859872611465,319,1256,1893,3149
1.640625,168,192,147,339
1.640625,168,192,147,339
1.3865248226950355,442,564,2562,3126
1.2696728558797525,374,1131,1876,3007
1.8771929824561404,311,456,1079,1535
1.1598173515981736,144,219,2740,2959
1.3208191126279865,248,293,2669,2962
1.2122065727699531,495,1065,1943,3008
5.292894280762565,1346,577,41,618
1.1598173515981736,144,219,2740,2959
1.5588633288227334,697,739,2296,3035
1.306701030927835,230,388,800,1188
1.306701030927835,230,388,800,1188
2.504934210526316,1864,1216,1247,2463
1.3657718120805369,306,298,2712,3010
1.4438419829589466,777,1291,1825,3116
1.3478260869565217,31,23,139,162
1.1732283464566928,132,127,279,406
2.0454545454545454,761,1232,1650,2882
1.1505190311418685,187,578,1798,2376
1.1732283464566928,132,127,279,406
1.1849315068493151,117,146,2649,2795
1.1396011396011396,250,351,2647,2998
